Start,End,Date Time,Survey Location,Include National,,Community,Rurality,Expert Type,Expert Type.other,Gender,Expert Title,Name of Organization,Type.Human Rights,Type.Sexual and Gender Based Violence,Type.Health and Reproductive Rights,Type.Land,Type.Economic and Financial Services,Type.Agriculture,Type.Education,Type.Local Community Participation,Type.Other,Type.NA,Type.Describe Other,WInfo.To be Treated Equally with All Others,Winfo.To be Free from Violence,WInfo.To be able to Join Groups,Winfo.Right to go Court if any Rights are Violated,Winfo.Right to Education,Winfo.Right_ to Own Property,Winfo.Right to Information,Winfo.Right to Work under Reasonable Hours,"Seminal:Same F,E,RoS as men?",Seminal.Explain,Women Interested in Information,Women Interested in Information.why,Women Interested National Gov,Women Interested National Gov.why,Women Interested Local Gov,Women Interested Local Gov.why,Info.National Government Office,Info.Local Government Office,Info.Local/Community NGOs,Info.Educational Institutions,Info.Places of Worship/Religious,Info.Traditional Leaders,Info.Village Elders,Info.Husband,Info.Other Family Members,Info.Friends,Info.Radio,Info.Television,Info.Newspaper,Info.Town Crier,Info.Internet/Cell Phone,Info.Other,Info.OtherExplain,Issue.Don't Know Where to Ask,Issue.Fear of Asking,Issue.Domestic Duties,Issue.Getting to Public Offices (Distance),Issue.Family Nonsupportive,Issue.Confidence,Issue.Mindset of Gov Offical,Issue.Illiteracy,Issue.Women Ignored in Public,Issue.Language,Issue.Culturally Not Allowed,Issue.Safety Concerns,Issue.Information not Important to Women,Issue.Women Not Allowed in Public,Issue.Other,Issue.Other Explain ,Original Barrier 1,Barrier 1,Original Barrier 2,Barrier 2,Original Barrier 3,Barrier 3,Possible Solutions,"Consequence of less awareness for women
",How Important.Rights,Rights.Freedom from Violence,Rights./Property Ownership/Land Rights,Rights.How the Justice System Works,Rights.Labor Law/Rights,Rights.Public Participation,Rights.Education,Rights.Marital.Family Rights,Rights.Health and Reproductive Rights,Rights.Freedom of Expression,Rights.Right to Information,Rights.Social Services,Rights.Anti-Discrimination,Rights.Please Explain,How important.Econ,Econ.Access to Banks,Econ.Vocational Training,Econ.Technology Training,Econ.Educational Opportunities,Econ.Job Opportunities,Econ.Land/Property Ownership,Econ.Scholarships,Econ.How to Start a Buisness,Econ.How to Get a Trade License,Econ.Social Development Funds,Econ.Please Explain,Original Most Important,Most Important,Original Second Most Important,Second Most Important,Original Third Most Important,Third Most Important,Anything Else,Enumerator Notes,Other Thoughts,__version__,meta/instanceID,_id,_uuid,_submission_time,_date_modified,_tags
2023-02-12T18:08:05.244Z,2023-02-12T20:07:53.453Z,2023-02-12T18:29:00.000Z,Port Loko,1,0.702258772,Port Loko city,Urban,NGO/International Community,n/a,Male,Acting Head Campaign For Good Governance,Camping For Good Governance,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Somewhat,Very,Very,Very,Very,Somewhat,No,Women's are not giving clean information regarding public because of the some culture practices and leadership behavior,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Large Barrier,Small Barrier,Not a Barrier,Not a Barrier,Peace,n/a,Domestic duties,Domestic Duties,Self beliefs and confidence,Confidence,Illiteracy,Illiteracy,Engagement,n/a,Very Important,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,To be free from Violence and right to access information will help women's to take ownership of information regarding women's that will help to promote more women's,Very Important,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,These information will help women's to achieve economic empowerment especially access to loans and property ownership,Property ownership,Property Ownership/Land ,Right to access information,Right to Information,To be free from Violence,Freedom from Violence,No,Radio program's about the importance of women's access information,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:e77b0b89-c418-41c6-aca1-ef38dcded8e6,109220232,e77b0b89-c418-41c6-aca1-ef38dcded8e6,2023-02-12T20:17:44,2023-02-12T20:17:44,
2023-02-12T20:19:18.061Z,2023-02-12T20:40:33.734Z,n/a,Port Loko,1,0.489087305,n/a,Urban,Government Official,n/a,Female,Rep.Youth Commission ,National Youth Commission ,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Somewhat,Very,Very,Very,Very,Very,Very,Very,Yes,Right for all Citizens ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Small barrier supportive to each other for Leadership ,n/a,Fear of asking ,Fear of Asking,Domestic duties ,Domestic Duties,Illiteracy ,Illiteracy,Engagement ,Poor coordination and it will lead to less involvement in decision making for women's ,Very Important,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Very Important,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Educational opportunities will help women's to take ownership and also take active part in decision making ,Right to participate in decision making ,Freedom of Expression,Right to access Education ,Education,Marital status ,Marital Family ,No,Serious engagement with women's groups ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:5ef59213-bf61-42d1-8f0e-af9f6e7d2a82,109220423,5ef59213-bf61-42d1-8f0e-af9f6e7d2a82,2023-02-12T20:40:41,2023-02-12T20:40:41,
2023-02-13T10:50:29.065Z,2023-02-13T11:18:53.019Z,2023-02-13T11:10:00.000Z,Bo,1,0.66584448,Bo Town ,Urban,Government Official,n/a,Male,Assistant Director ,Ministry of Basic Education ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Somewhat,Very,No,"Because most time women, when they want to access information they normally have some forms of fright or shy to request for such information. ",Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,None,n/a,Fear and confidence ,Confidence,Illiteracy ,Illiteracy,Language ,Language,General sensitization about access to information by women in all areas of work/life,Low out put in performance by women ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of these are very vital for the security of women interms of access to information that will make them function well in society. ,Very Important,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,All of those highlighted can contribute to economic development ,Educational opportunities ,Education,Technology training ,Vocational Training,To start small Business enterprise ,How to Start a Buisness,None ,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:9ff789d3-720b-4858-9280-6897688e77ff,109235456,9ff789d3-720b-4858-9280-6897688e77ff,2023-02-13T11:18:59,2023-02-13T11:18:59,
2023-02-07T22:47:25.808Z,2023-02-13T12:14:44.445Z,2023-02-07T23:47:00.000Z,Port Loko,1,0.975457676,Rosara community,Rural,NGO/International Community,n/a,Male,Field officer,Sierra Leone Teacher's Union {SLTU},TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,No,Attitude of  some Male heading public institution slow or deprivation of giving information to women's especially in these of our party in Sierra Leone ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Not a Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Division ,n/a,Educational opportunities,Illiteracy,Cultural barrier,Culturally Not Allowed,Region barrier,Culturally Not Allowed,Awareness raising ,No improvement ,Very Important,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Starting business and educational opportunities enable women to have equal opportunity as men because of self employed ,Marital Rights ,Marital Family ,Educational opportunities,Education,Freedom of speech ,Freedom of Expression,No,Sentization ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:1b9282f7-0ca9-4717-92ad-29e3e0661a2f,109238613,1b9282f7-0ca9-4717-92ad-29e3e0661a2f,2023-02-13T12:20:07,2023-02-13T12:20:07,
2023-02-09T20:37:51.290Z,2023-02-13T11:59:42.460Z,2023-02-09T20:58:00.000Z,Port Loko,1,0.447091194,n/a,Urban,Government Official,n/a,Female,Gender Officer,Port Loko District Council,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,No,Sometimes delay in the side of men  Government official,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Division amongst women's,n/a,Cultural barrier,Culturally Not Allowed,Region barrier,Culturally Not Allowed,Educational barrier,Illiteracy,Sentization and pasting of ITC material,Low turnout of participation,Very Important,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Information must be shared with equal opportunity so that everyone have the right to access it with out considering the cultural practices ,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Self employed ,Right to be Educated ,Education,Marital Rights ,Marital Family ,Freedom of expression and belonging ,Freedom of Expression,No,Continue engagement ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:b978b1ea-a3ab-414c-80a5-8c46947bbb26,109238614,b978b1ea-a3ab-414c-80a5-8c46947bbb26,2023-02-13T12:20:07,2023-02-13T12:20:07,
2023-02-10T13:57:43.632Z,2023-02-13T12:00:59.959Z,2023-02-10T14:37:00.000Z,Port Loko,1,0.036128732,Ward street community,Urban,NGO/International Community,n/a,Female,Project Officer,CARE salone,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,No,Sometimes Men go out for information than women's and also cultural barrier ie men should ask for information in some parts of Sierra Leone,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,n/a,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Peace Love and unity,n/a,Cultural barrier,Culturally Not Allowed,Region barrier,Culturally Not Allowed,Educational barrier,Illiteracy,Massive awareness raising on the importance of women access information,Deprivation,Very Important,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Information is power it will enable more women's to speak,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Access to loans will enable women to have self reliance confident,Job opportunities,Job Opportunities,Vocational training,Vocational Training,Access to bank loans,Access to Banks,No,Education,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:8d35071a-8b45-4628-9c4e-bef8e5050e2d,109238616,8d35071a-8b45-4628-9c4e-bef8e5050e2d,2023-02-13T12:20:08,2023-02-13T12:20:08,
2023-02-11T09:14:43.514Z,2023-02-13T12:00:28.864Z,2023-02-11T09:34:00.000Z,Port Loko,0,0.567578,Davis community,Urban,Government Official,n/a,Male,Coordinator North West,Legal Aid Board,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,Yes,Since it constitutional rights ever human being is equal,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Peace,n/a,Cultural barrier,Culturally Not Allowed,Region barrier,Culturally Not Allowed,Educational barrier,Illiteracy,Education opportunities,No better Livelihood and it increases poverty,Very Important,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,As these will enable more women's to participate in public decision making because of self confidence of access loan and start business,To be self free from violence,Freedom from Violence,Freedom of speech and expression,Freedom of Expression,Right to Education,Education,No,More Education,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:b15d6c85-2b7b-4780-81fa-6d288880fadf,109238624,b15d6c85-2b7b-4780-81fa-6d288880fadf,2023-02-13T12:20:20,2023-02-13T12:20:20,
2023-02-13T12:18:42.790Z,2023-02-13T12:48:08.312Z,2023-02-13T12:40:00.000Z,Bo,1,0.211366205,Bo Town ,Urban,Government Official,n/a,Male,Regional Program Manager ,Legal Aid Board - South,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Legal representation, Alternative Dispute Resolution/ Mediation ",Very,Very,Very,Very,Very,Very,Very,Very,No,The level education is low for women when you compare to men,Yes,n/a,No,The information is for both men and women ,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,n/a,Don't Know,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Not a Barrier,None,n/a,Confidence to ask government for information ,Confidence,Illiteracy ,Illiteracy,Language ( Documented in official language ,Language,Provisions of education for women ,"It leads to economic retrogression as a nation. 

There be potential outbreak of violence and Crisis ",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,It's leads to the holistic development of the protection and promotion of their rights. ,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"It's gives women understanding, knowledge, legal empowerment and economic empowerment ",Access to Bank loans/Credits ,Access to Banks,Educational opportunities ,Education,Job opportunities ,Job Opportunities,"Legal system in place to protect women access to information. 

Provide level playing quality educational field. ",n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:bb0b2d5c-d94e-412a-8da9-ce46cd7f318f,109246087,bb0b2d5c-d94e-412a-8da9-ce46cd7f318f,2023-02-13T14:27:24,2023-02-13T14:27:24,
2023-02-13T13:48:17.383Z,2023-02-13T14:14:29.517Z,2023-02-13T14:08:00.000Z,Bo,1,0.74483123,Bo Town,Urban,NGO/International Community,n/a,Male,Regional Admin/Officer,Marie Stope Sierra Leone,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,No,When are not been priorities,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,n/a,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,n/a,n/a,Fear of asking/ Intimidation,Fear of Asking,Mobility cost and Distance,Mindset of Gov Offical,Illiteracy,Illiteracy,When should be given equally rights as men,"It will affect the economic development of the nation. 

It will also affect their household development",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All are importants because it's help to protect and promote their rights,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They are importants and interrelated to the economic development of women,Access to Bank/loans,Access to Banks,Educational opportunities,Education,Land/property ownerships,Land/Property Ownership,n/a,Organize training for women to increase knowledge on their rights.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:134805b7-1e9b-47b3-9af0-cbf8261485f6,109246117,134805b7-1e9b-47b3-9af0-cbf8261485f6,2023-02-13T14:27:29,2023-02-13T14:27:29,
2023-02-14T11:24:15.398Z,2023-02-14T11:45:02.918Z,2023-02-14T11:44:00.000Z,Bo,1,0.073182571,Bo City,Urban,Government Official,n/a,Male,Gender Officer,Bo City Council ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Women Rights,Very,Very,Very,Very,Very,Very,Very,Very,No,Women spend time home they hardly go out in search of information ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,n/a,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,n/a,n/a,Illteracy ,Illiteracy,Fear to ask questions ,Fear of Asking,"Mobility, Distance and Cost",Getting to Public Offices (Distance),Women to be given opportunities to learn ,It affects the holistic development of women ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of these important for the protection and protection of women's rights. ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They are all important for economic empowerment of women ,Education ,Education,Access to loans ,Access to Banks,Land ownership,Land/Property Ownership,Government to create structures that women can have easy access to information which can help to make decisions on their own. ,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:c63e16dd-ed80-489f-8289-b6d223e4ba02,109283259,c63e16dd-ed80-489f-8289-b6d223e4ba02,2023-02-14T11:56:53,2023-02-14T11:56:53,
2023-02-14T16:44:26.327Z,2023-02-14T17:13:14.914Z,2023-02-14T22:00:00.000Z,Kallahun,1,0.885866074,Old Barak,Rural,Government Official,n/a,Male,District youth officer,Ministry of youth affairs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Somewhat,Very,Very,Very,Very,Somewhat,Very,Very,Yes,The platform are always for women participation,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Greatest barrier,n/a,Culture,Culturally Not Allowed,Fear of asking,Fear of Asking,Language,Language,Sensitization,Impact to low access to information,Very Important,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Right to education is very key to women participation in governance,Very Important,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Vocational training create self reliability for women,Educational opportunities,Education,Vocational training,Vocational Training,Access to bank,Access to Banks,Increase their opportunities to communities,Women cooperate more in there community and also in their organization,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:86b112ac-9973-40e0-9918-e8a75d2c507d,109298216,86b112ac-9973-40e0-9918-e8a75d2c507d,2023-02-14T17:13:59,2023-02-14T17:13:59,
2023-01-30T12:18:27.298Z,2023-02-13T16:53:04.103Z,2023-01-30T14:18:00.000Z,Western Area,1,0.560896486,Western Area Rural District,Rural,Government Official,n/a,Female,Deputy Director for Education,District Education officer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,No,Because of stereo type think by men officials,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Not a Barrier,Fear of being bullying and intimidation,Yes,Bullying,Fear of Asking,"Getting to the public officials (mobility, cost, distance and safety)",Getting to Public Offices (Distance),Mindset of Government officials,Mindset of Gov Offical,Popularized the Access to information Law and make the document friendly reader,They will believe or rely on fake news,Very Important,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Enable them to become self reliance and economic empowerment,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,This information will open their economic empowerment strategy,Educational opportunities,Education,Vocational training and skills training,Vocational Training,Access to banks/loan/credit,Access to Banks,No,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:1e419a34-163f-4b5a-9ff4-046718d0e17c,109328979,1e419a34-163f-4b5a-9ff4-046718d0e17c,2023-02-15T12:35:36,2023-02-15T12:35:36,
2023-01-30T12:55:03.338Z,2023-02-13T16:51:00.281Z,2023-01-30T13:55:00.000Z,Western Area,1,0.161224398,Western Area Rural District,Rural,Government Official,n/a,Female,Assistant Director,Ministry of Social Welfare,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Somewhat,Somewhat,Very,Somewhat,Very,No,Mindset of Government officials,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Unable to vent out want they need as information,Yes,Illiteracy,Illiteracy,Fear of asking for information,Fear of Asking,Confidence to ask Government information self esteem,Confidence,Organize community adult education/Civic education and focus group discussion,Less satisfied and feel not belong and always  feel depress and left out in decision making,Very Important,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,This will help women to build up there potential and be able to use and shape the law,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,If women are empower they will become self reliance and help build the nation,Reproductive health care,Health and Reproductive ,Educational opportunities,Education,Access to banks loan/credit,Access to Banks,n/a,Women are in the better position to diseminate information which is why they should access information a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:8a447e50-ad75-411a-8596-933346a15b3f,109328983,8a447e50-ad75-411a-8596-933346a15b3f,2023-02-15T12:35:36,2023-02-15T12:35:36,
2023-01-30T13:43:33.668Z,2023-02-13T16:49:43.973Z,2023-01-30T14:43:00.000Z,Western Area,1,0.601067667,Western Area Rural District Council/ Gender Officer,Rural,Government Official,n/a,Female,Acting Gender Officer,WARDC Gender Officer,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Somewhat,No,Women are segregation from at all levels of governance,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Not a Barrier,n/a,Yes,Confidence to ask Government officials,Confidence,Segregation,Women Not Allowed in Public,Illiteracy,Illiteracy,Local Government to open up with women,It will Increase gender based violence society and increase the level psychological effects,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Enable them to use and shape the law,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"This will strengthening their economic rights, empowered and make them become self reliance",Access to banks loan and credit,Access to Banks,Vocational training and skills training,Vocational Training,Educational opportunities,Education,No,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:fe2a089c-7432-40bc-b933-8d474f6f7b35,109328987,fe2a089c-7432-40bc-b933-8d474f6f7b35,2023-02-15T12:35:37,2023-02-15T12:35:37,
2023-01-30T14:09:40.429Z,2023-02-13T16:47:55.755Z,2023-01-30T17:48:00.000Z,Western Area,1,0.268767911,Western Area Rural District Council (WARDC),Rural,Government Official,n/a,Male,IEC Officer,WARDC ICE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Journalism ,Somewhat,Very,Very,Very,Very,Somewhat,Very,Somewhat,Yes,They have time and patience to have information,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Not a Barrier,Small Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,Beuracracy,Yes,Illiteracy,Illiteracy,Domestic duties,Domestic Duties,Lack of family support,Family Nonsupportive,"Confidence, capacity building, try to be conversant with national issues","Less empowerment of women, lack of access to funds/programs allocated for women.",Very Important,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,They will be able to talk about issues that surrounds them.,Very Important,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Build their economic strength,Social fund support,Social Development Funds,Educational opportunities,Education,Job opportunities,Job Opportunities,No,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:1aef5e12-e128-466c-b42b-de7c06c6b0eb,109328992,1aef5e12-e128-466c-b42b-de7c06c6b0eb,2023-02-15T12:35:37,2023-02-15T12:35:37,
